1	2186	7692
2	1441	7347
3	1410	7313
4	1152	6807
5	1213	7522
6	1123	6795
7	1151	7597
8	1078	6928
9	1106	6539
10	1087	6836
11	1083	6733
12	1079	6602
13	1043	6858
14	1047	7418
15	1021	6677
16	1054	6659
17	1038	6362
18	977	6493
19	1026	6288
20	1029	6267
21	967	6367
22	990	6290
23	983	6358
24	989	6436
25	1010	6144
26	985	6490
27	971	6077
28	990	6325
29	976	6063
30	925	6181
31	970	6453
32	961	6362
33	920	6223
34	942	6066
35	960	6435
36	954	6105
37	950	6005
38	942	5967
39	935	6332
40	942	6358
41	936	5824
42	930	5869
43	921	5673
44	936	5882
45	931	5933
46	928	5989
47	927	6065
48	916	5908
49	933	5862
50	908	5958
51	903	5880
52	899	5878
53	906	5990
54	906	5819
55	869	5563
56	889	5807
57	901	5809
58	901	5486
59	905	5941
60	877	5504
61	890	5870
62	887	5518
63	876	5743
64	871	5411
65	870	5451
66	843	5668
67	885	5412
68	873	5624
69	871	5292
70	859	5794
71	864	5695
72	865	5489
73	852	5577
74	829	5329
75	831	5558
76	842	5395
77	861	6093
78	840	5381
79	845	5319
80	856	5487
81	845	5121
82	843	5186
83	825	5452
84	790	5442
85	843	5311
86	821	5750
87	837	5363
88	833	5734
89	838	5354
90	816	5342
91	813	5530
92	805	5137
93	821	5533
94	816	4997
95	790	5131
96	813	5409
97	809	5372
98	816	5170
99	809	4935
100	782	4885
101	794	5267
102	797	5364
103	785	5103
104	783	5059
105	793	5270
106	780	4900
107	778	5185
108	774	5064
109	766	5158
110	775	5263
111	744	5216
112	773	4730
113	787	4935
114	766	5027
115	750	4690
116	754	4683
117	770	5385
118	740	4904
119	751	4754
120	766	5320
121	738	4727
122	735	5049
123	729	4683
124	753	5451
125	755	4902
126	746	4956
127	740	4797
128	752	4862
129	736	5196
130	744	4702
131	719	4708
132	716	4556
133	685	4554
134	720	4837
135	743	4687
136	719	4714
137	732	4562
138	714	4614
139	734	4773
140	717	4983
141	714	4755
142	708	4509
143	705	4420
144	700	4411
145	718	4984
146	681	4646
147	714	4613
148	704	4613
149	675	4317
150	682	4671
151	707	4881
152	684	4466
153	693	4389
154	701	4558
155	677	4176
156	669	4442
157	691	4431
158	679	4512
159	688	4408
160	667	4234
161	655	4476
162	673	4566
163	663	4327
164	663	4321
165	673	4585
166	675	4331
167	640	4226
168	634	4238
169	631	4294
170	630	4275
171	659	4217
172	632	4241
173	646	4582
174	660	4301
175	655	4450
176	653	4244
177	625	4094
178	650	4387
179	640	4317
180	604	4035
181	631	4176
182	584	4029
183	602	4043
184	592	4048
185	628	4250
186	560	4108
187	616	4251
188	627	4080
189	620	4233
190	530	3857
191	578	4033
192	584	4011
193	521	3974
194	595	3903
195	584	4128
196	601	4197
197	607	4200
198	555	4175
199	500	4181
200	521	3914
