1	197	2
2	113	6
3	115	13
4	115	16
5	119	26
6	121	29
7	131	36
8	130	34
9	176	44
10	231	137
11	245	149
12	196	141
13	239	168
14	252	163
15	232	153
16	232	173
17	250	175
18	254	182
19	258	195
20	258	251
21	264	238
22	252	264
23	270	261
24	275	328
25	279	296
26	275	292
27	276	304
28	276	288
29	288	324
30	271	348
31	291	348
32	267	356
33	281	346
34	269	362
35	265	404
36	281	376
37	288	376
38	279	370
39	274	390
40	303	471
41	277	401
42	309	407
43	293	459
44	276	469
45	302	451
46	325	479
47	298	478
48	323	482
49	321	475
50	308	553
51	307	522
52	299	540
53	322	536
54	335	608
55	312	610
56	309	577
57	317	571
58	321	586
59	340	614
60	315	638
61	326	711
62	331	663
63	342	678
64	347	678
65	324	692
66	317	704
67	311	700
68	343	710
69	341	775
70	331	733
71	354	782
72	362	795
73	344	783
74	358	793
75	354	848
76	343	866
77	378	811
78	349	922
79	365	907
80	376	924
81	367	903
82	378	957
83	388	1007
84	397	922
85	390	1053
86	382	965
87	400	1019
88	391	942
89	408	1075
90	413	972
91	404	1063
92	415	1077
93	377	1033
94	385	1032
95	391	1083
96	392	1056
97	379	1083
98	381	1012
99	383	1053
100	391	1093
101	410	1125
102	386	1099
103	416	1184
104	406	1082
105	406	1117
106	445	1127
107	438	1117
108	395	1174
109	422	1203
110	434	1380
111	442	1338
112	434	1240
113	445	1339
114	419	1326
115	426	1358
116	438	1276
117	435	1388
118	453	1328
119	438	1332
120	444	1433
121	462	1471
122	444	1407
123	441	1471
124	460	1477
125	463	1441
126	469	1578
127	459	1517
128	446	1493
129	486	1471
130	491	1540
131	494	1746
132	495	1599
133	464	1605
134	476	1613
135	480	1699
136	494	1725
137	503	1651
138	454	1592
139	494	1740
140	489	1805
141	501	1814
142	480	1606
143	474	1764
144	517	1791
145	482	1692
146	488	1892
147	524	1856
148	514	1722
149	488	1780
150	522	1844
151	526	1884
152	512	2035
153	510	1920
154	519	1947
155	495	1901
156	539	1966
157	493	2072
158	512	1949
159	543	1981
160	517	1899
161	539	1960
162	541	2048
163	532	2158
164	545	1935
165	543	2096
166	554	1907
167	532	2147
168	560	2130
169	555	1912
170	562	2199
171	543	2192
172	554	2047
173	563	2276
174	588	2109
175	575	2268
176	534	2251
177	575	2146
178	574	2099
179	563	2194
180	589	2403
181	580	2353
182	586	2163
183	561	2368
184	578	2301
185	590	2252
186	558	2475
187	606	2442
188	567	2227
189	581	2257
190	596	2543
191	614	2677
192	602	2658
193	581	2496
194	616	2468
195	596	2479
196	586	2806
197	620	2475
198	622	2517
199	618	2517
200	611	2692
201	581	2500
202	622	2493
203	599	2523
204	633	2567
205	622	2522
206	603	2516
207	632	2563
208	616	2430
209	603	2511
210	620	2682
211	643	2623
212	618	2666
213	654	2867
214	619	2824
215	650	2675
216	662	2955
217	647	2790
218	625	2665
219	632	2732
220	621	2798
221	639	3101
222	656	3237
223	640	2878
224	628	2862
225	658	2955
226	677	2976
227	679	2958
228	668	2924
229	664	2880
230	666	3062
231	680	3080
232	679	2916
233	652	2798
234	691	3091
235	694	3006
236	692	3074
237	662	2995
238	676	3090
239	678	3438
240	701	3144
241	703	3289
242	706	3050
243	692	3387
244	705	3493
245	723	3253
246	697	3194
247	691	3121
248	716	3207
249	709	3649
250	701	3475
251	700	3566
252	725	3313
253	701	3417
254	706	3367
255	711	3338
256	735	3759
257	739	3646
258	741	3211
259	717	3295
260	737	3566
261	734	3334
262	747	3534
263	730	3516
264	717	3346
265	728	3465
266	716	3509
267	741	3561
268	746	3620
269	756	3571
270	739	3755
271	757	3747
272	757	3547
273	747	3899
274	765	3968
275	776	3704
276	772	3686
277	779	3813
278	782	3673
279	763	3989
280	778	3698
281	783	3987
282	791	4091
283	770	3824
284	765	3871
285	794	3879
286	764	3759
287	776	3513
288	789	3644
289	793	3832
290	806	3924
291	800	3772
292	797	3906
293	807	4077
294	809	3774
295	791	3804
296	785	3808
297	816	4062
298	784	3716
299	825	4072
300	815	4055
301	834	3824
302	817	4023
303	809	4153
304	811	4251
305	831	3911
306	804	3928
307	827	3829
308	834	4183
309	802	4107
310	807	4171
311	857	4236
312	831	4143
313	810	4526
314	836	4300
315	856	4376
316	846	4195
317	870	4207
318	857	4519
319	871	4240
320	831	4271
321	863	4466
322	841	4296
323	874	4485
324	876	4558
325	854	4217
326	863	4831
327	840	4273
328	880	4178
329	839	4718
330	860	4490
331	885	4479
332	836	4464
333	886	4466
334	888	4544
335	888	4331
336	877	4511
337	864	4438
338	891	4480
339	892	4669
340	862	4685
341	880	4774
342	912	4430
343	889	4543
344	884	4582
345	885	4826
346	916	4426
347	910	4419
348	912	4548
349	915	4767
350	913	4668
351	904	4553
352	919	5217
353	919	4757
354	903	5492
355	925	4606
356	906	4829
357	936	4817
358	936	4767
359	930	4998
360	909	4748
361	915	4718
362	922	5059
363	936	5132
364	931	4926
365	934	4873
366	940	4642
367	961	4971
368	950	5026
369	952	4817
370	967	4693
371	925	5035
372	952	5085
373	965	4739
374	954	4953
375	976	5081
376	981	6065
377	974	5129
378	984	4667
379	992	4966
